text,sentiment
"I absolutely love this app, amazing experience",positive
"This is the worst service I have ever used",negative
"It's okay, not bad but not great",neutral
"Fantastic UI and smooth performance",positive
"Very slow and frustrating experience",negative
"Decent features, could improve",neutral
"I am extremely happy with this product",positive
"Terrible customer support",negative
"Nothing special, average app",neutral
"Super fast and reliable",positive
"I hate this update",negative
"It works fine for me",neutral
